content,fecha_publicacion
"@jgnaredo @XochitlGalvez Jajaja...no ofrece, no hay propuestas; ademas de ser una corriente vulgar. Guacala como presidente y como todo.",2023-11-24 21:10:09+00:00
"@CarlaEUrenaA @XochitlGalvez @martibatres @Viri_Rios Que mamada enserio, cuando todos sabemos que la verdad campana sucia ha sido sobre Claudia, morena y el presidente a chillar a su casa y dejar de escribir estupideces es lo que deberias de hacer",2023-11-24 21:08:42+00:00
@Elizabe97472369 @XochitlGalvez SAMUEL PRESIDENTE ,2023-11-24 21:06:59+00:00
"@tatclouthier @XochitlGalvez @Claudiashein Claudia es que? con su gobierno en la CDMX solo queda claro que es igual que Lopez Obrador, mitomana, corrupta, maquilladora de datos y aparte sin resolver nada. Con su campana solo demuestra ser copia barata del senil que tenemos de presidente  eso si es preocupante!",2023-11-24 21:06:59+00:00
@tatclouthier @XochitlGalvez @Claudiashein Claudia ni investigacion ni solucion; solamente se limita a ser una imitadora del presidente.,2023-11-24 21:03:43+00:00
"@VicenteFoxQue Dile a @XochitlGalvez que tome a @JMilei como ejemplo para que gane la presidencia. Tiene que atacar todos los dias, sin piedad y sin descanso al Presidente y a toda su bola de satrapas cuatroteras. Tiene que corregir su rumbo YA!",2023-11-24 21:02:28+00:00
"@XochitlGalvez La verdad nos quedamos donde estamos, Mexico tiene un presidente de verdad  y @Claudiashein continuara con la transformacion 
#EsUnHonorEstarConObrador 
#ClaudiaPresidenta2024",2023-11-24 20:57:01+00:00
@PonchoGutz @comsatori @CarlaEUrenaA @XochitlGalvez @martibatres @Viri_Rios Solo tiene que hablar para convencer a cualquiera lo mediocre ignorante mentirosa calumniadora y farzante solo hay que ver lo que ya a dicho para pensar que el presidente la puso ahi para joder a la oposicion y tu fijate bien lo que escribes porque solito te empinas tarugo,2023-11-24 20:56:51+00:00
@tatclouthier @XochitlGalvez @Claudiashein Tu no entendiste nada Tatis! Que forma de defender lo indefendible despues de tanta mierda que ha dejado el presidente!,2023-11-24 20:52:33+00:00
"@XochitlGalvez Ya se porque piensas que vas a ganar, para ver si hablando igual de culero que el presidente actual ganas, pero ni por eso, se ven bien Ardidas las del PRI PAN uniendose jajajaja",2023-11-24 20:44:52+00:00
"@gbonillah @XochitlGalvez Jajaja jajajaja y jajaja, de alli lo esta sacando nuestro presidente, de donde el prian jamas quiso que salieran los mexicanos adelante, por eso mucha pobreza y desigualdad, no se hagan tontas solas.",2023-11-24 20:41:00+00:00
"@Elizabe97472369 @XochitlGalvez Si no levantara no andarian tirandole  saben que ella sola puede si necesidad de todo el aparato del gobierno, basta mirar los post, como miles pedimos a Xochitl para presidente  Claudia no jala  nomas no cae bien",2023-11-24 20:34:50+00:00
