content,fecha_publicacion
"@samuel_garcias Pues lo siento, pero lo unico seguro en el 2024 es que tu no ganaras las elecciones, eso es lo que si esta garantizado, no tienes los talentos para ser presidente, y fuiste gobernador gracias a tu esposa.... No a tu inteligencia.",2023-11-24 19:31:19+00:00
@samuel_garcias Buenas tardes me dirijo a usted con una pregunta por usted si ya fuera presidente de Mexico usted como trabajaria oh brindaria un valor a esta area y sector de la discapacidad ya que tenemos nuestros derechos humanos y universales y de la convencion internacional,2023-11-24 19:29:14+00:00
"@samuel_garcias Tu crees que alguien que quiere ser ""presidente"", en un pais con miles de muertes al mes, SEA CORRECRO Y BUENO QUE REFALE Y LLAME A UNA CALCA ""calva matona"", en un pais saturado de muerte... ???",2023-11-24 19:29:00+00:00
"@MovCiudadanoMX @samuel_garcias @DanteDelgado @chavacanamayor @ClementeCH @JZavalaGt @Omarecasta @CarlosHerreraSi @ManuelHerreraV @AndresPintosnl @AlvarezMaynez Y que va a suceder cuando pasados dos anos de ser presidente, la corta duracion de tu palabra aplique y decidas dejar de gobernar como lo hiciste en NL. Es el colmo tienes dos minutos en la politica y gracias a que millones sigue en el Fisico de tu mujer, te crees presidente.",2023-11-24 19:25:34+00:00
Vengo del futuro y  @samuel_garcias  sera presidente,2023-11-24 19:14:22+00:00
"Parece un capitulo de The Office, Claudia es Angela

 https://t.co/clhqicG9bl",2023-11-24 17:36:39+00:00
@Liliana_Lome @gaviotasterling @cazador1954 @marianardzcant @samuel_garcias @FCN_mx @PodermxXmx @redesunidosmx @SocCivilMx @unemexico_ @UnidosPorMx2024 @PC_NL_ y agarrate va que vuela para presidente,2023-11-24 19:13:37+00:00
@samuel_garcias Proximo presidente de la Republica Mexicana,2023-11-24 19:13:28+00:00
@samuel_garcias Sr Gobernador como quiere ser presidente si no cumplio aqui en Monterrey ese deja mucho que desear mi humilde opinion y por ser mexicana no me interesa como presidente asi de simple,2023-11-24 19:12:50+00:00
@LillyTellez @XochitlGalvez @samuel_garcias  proximo presidente de la Republica Mexicana fuera el prianismo lleno de intereses propios,2023-11-24 19:11:15+00:00
Excelente mi Proximo Presidente @samuel_garcias no me imagino el inch aburrimiento con @Claudiashein por san luis rio colorado ,2023-11-24 19:10:05+00:00
Jajajaja pinche Claudia es un chile seco https://t.co/3ttNKfsIIg,2023-11-24 08:49:38+00:00
"@pedroferriz3 @Mexico_Libre9 @samuel_garcias El que cree  sera presidente,pobre profugo del acido folico y con mollerra sumida",2023-11-24 19:09:57+00:00
"@samuel_garcias Y asi.... Se expreso desde su enorme quijada y su enorme ego, el traidor esquirol facturero corrupptazoo LADDROON 

@samuel_garcias 
O proximo presidente de Instagram  https://t.co/vvACV9LzQ7",2023-11-24 19:04:58+00:00
"@samuel_garcias Lo que se ha dicho es que no cumples tu palabra, que mientes como respiras, que eres solo un esquirol de Morena y que el presidente es quien te impuso ser candidato porque tienes muchas cuentas pendientes con UIF por lavado de dinero y por facturero.
#EsquirolGarcia https://t.co/JBFa2iTDkI",2023-11-24 19:00:27+00:00
"@samuel_garcias El detalle no es lo joven,  es lo buey para hablar y decir las cosas   Jamas seras presidente ni el ano q entra ni en los otros q le siguen.. babalucas ",2023-11-24 18:55:29+00:00
"@samuel_garcias Esa cosa no puede ni debe ser presidente. 

NO SE DEJEN ENGANAR.",2023-11-24 18:48:18+00:00
@samuel_garcias Patino del Presidente! Das verguenza!,2023-11-24 18:46:42+00:00
